"employees","random_salaries","salary_adjustments","adjusted_salary","raise_received"
"Employee 44",43839.7595495917,-3239.62968541309,40600.1298641786,FALSE
"Employee 45",48170.7695988007,8809.38231013715,56980.1519089378,TRUE
"Employee 46",42632.142289076,6416.63478105329,49048.7770701293,TRUE
"Employee 47",44643.7091054395,8247.7864890825,52891.495594522,TRUE
"Employee 48",41909.7449840046,-3051.24982027337,38858.4951637313,FALSE
"Employee 49",41153.1012458727,9326.30499708466,50479.4062429573,TRUE
"Employee 50",40629.4359755702,4299.14073436521,44928.5767099354,TRUE
"Employee 51",49722.2666419111,-1197.14214350097,48525.1244984102,FALSE
"Employee 52",42921.6597788036,1210.94966772944,44132.609446533,TRUE
"Employee 53",44538.7425273657,734.362598741427,45273.1051261071,TRUE
"Employee 54",42662.8279546276,-4047.3375946749,38615.4903599527,FALSE
"Employee 55",42748.42267856,-3672.09755582735,39076.3251227327,FALSE
"Employee 56",43528.7553467788,5673.30295802094,49202.0583047997,TRUE
"Employee 57",47563.4199404158,-1762.93411292136,45800.4858274944,FALSE
"Employee 58",47596.9311106019,8231.96402634494,55828.8951369468,TRUE
"Employee 59",47277.4405265227,3940.56930439547,51218.0098309182,TRUE
"Employee 60",47007.016427815,1485.54154904559,48492.5579768606,TRUE
"Employee 61",49972.583851777,5373.0842215009,55345.6680732779,TRUE
"Employee 62",40651.3546360657,1711.88116422854,42363.2358002942,TRUE
"Employee 63",40602.1215463988,58.1580016296357,40660.2795480285,TRUE
"Employee 64",45300.0523615628,4182.82672995701,49482.8790915199,TRUE
"Employee 65",46736.8137044832,3016.74205693416,49753.5557614174,TRUE
"Employee 66",41113.9958561398,8527.10695471615,49641.102810856,TRUE
"Employee 67",43032.252965495,-3558.54350957088,39473.7094559241,FALSE
"Employee 68",47052.1147851832,-1297.67147358507,45754.4433115982,FALSE
"Employee 69",44655.1268710755,5186.57362204976,49841.7004931252,TRUE
"Employee 70",42729.4938499108,6938.72800911777,49668.2218590286,TRUE
"Employee 71",47714.9555040523,-4538.23623596691,43176.7192680854,FALSE
"Employee 72",49750.2308338881,-4768.00445117988,44982.2263827082,FALSE
"Employee 73",48826.8678076565,1702.16239988804,50529.0302075446,TRUE
"Employee 74",45934.5456003211,-1828.17425811663,44106.3713422045,FALSE
"Employee 75",47770.2202834189,8254.24248934723,56024.4627727661,TRUE
"Employee 76",45535.2923809551,6871.853612829,52407.1459937841,TRUE
"Employee 77",49162.5302820466,4637.47364701703,53800.0039290637,TRUE
"Employee 78",49141.6570870206,5810.8113554772,54952.4684424978,TRUE
"Employee 79",40288.1573885679,3383.48699151538,43671.6443800833,TRUE
"Employee 80",47848.2773178257,6194.82004200108,54043.0973598268,TRUE
"Employee 81",40471.3099892251,2233.83568227291,42705.145671498,TRUE
"Employee 82",44218.3901043609,6286.10144020058,50504.4915445615,TRUE
"Employee 83",44460.9727803618,-1694.08116140403,42766.8916189577,FALSE
"Employee 84",40979.801826179,8118.79660235718,49098.5984285362,TRUE
"Employee 85",49774.4833771139,6463.67043140344,56238.1538085174,TRUE
"Employee 86",41480.732196942,5123.23724804446,46603.9694449864,TRUE
"Employee 87",48964.0869805589,7719.20803235844,56683.2950129174,TRUE
"Employee 88",47870.9673252888,-4763.38798878714,43107.5793365017,FALSE
"Employee 89",41550.6315021776,-121.460399823263,41429.1711023543,FALSE
"Employee 90",44633.8190650567,-256.184622412547,44377.6344426442,FALSE
"Employee 91",44328.0095327646,-531.68942919001,43796.3201035745,FALSE
"Employee 92",40714.0974700451,-136.716448469087,40577.381021576,FALSE
"Employee 93",41566.8761031702,-1821.61679491401,39745.2593082562,FALSE
"Employee 94",49179.3772648089,8130.69753232412,57310.074797133,TRUE
"Employee 95",47213.9241313562,6164.53583468683,53378.459966043,TRUE
"Employee 96",41083.4779357538,3872.42120457813,44955.8991403319,TRUE
"Employee 97",42671.990559902,-2991.67466815561,39680.3158917464,FALSE
"Employee 98",47011.2569187768,-2868.13475075178,44143.122168025,FALSE
"Employee 99",49873.5534911975,4278.61973643303,54152.1732276306,TRUE
"Employee 100",45546.8806810677,2596.23480960727,48143.115490675,TRUE
